id,user_id,studentCode
profile-s-1,user-10,20233585
profile-s-2,user-11,20233584
profile-s-3,user-12,20233583
profile-s-4,user-14,20233582
profile-s-5,user-15,20233581
profile-s-6,user-16,20233580
profile-s-7,user-17,20233579
profile-s-8,user-18,20233578
profile-s-9,user-19,20233577
profile-s-10,user-20,20233576
profile-s-11,user-21,20233575
profile-s-12,user-22,20233574
profile-s-13,user-23,20233573
profile-s-14,user-24,20233572
profile-s-15,user-25,20233571
profile-s-16,user-26,20233570
profile-s-17,user-27,20233569
profile-s-18,user-28,20233568
profile-s-19,user-29,20233567
profile-s-20,user-30,20233566
profile-s-21,user-31,20233565
profile-s-22,user-32,20233564
profile-s-23,user-33,20233563
profile-s-24,user-34,20233562
profile-s-25,user-35,20233561
profile-s-26,user-36,20233560
profile-s-27,user-37,20233559
profile-s-28,user-38,20233558
profile-s-29,user-39,20233557
profile-s-30,user-40,20233556
profile-s-31,user-41,20233555
profile-s-32,user-42,20233554
profile-s-33,user-43,20233553
profile-s-34,user-44,20233552
profile-s-35,user-45,20233551
profile-s-36,user-46,20233550
profile-s-37,user-47,20233549
profile-s-38,user-48,20233548
profile-s-39,user-49,20233547
profile-s-40,user-50,20233546
profile-s-41,user-51,20233545
profile-s-42,user-52,20233544
