topicId,week,topicName,state,courseId
1,1,"Clase Inaugural: Lineamientos del Curso",PENDING,5
2,1,"Paradigmas de Programación",PENDING,5
3,1,"Evolución de los Lenguajes de Programación",PENDING,5
4,1,"Operaciones Básicas del Computador",PENDING,5
5,2,"Análisis de Resolución de Problemas",PENDING,5
6,2,"Algoritmos",PENDING,5
7,2,"Sintaxis y Semántica de un Lenguaje de Alto Nivel",PENDING,5
8,3,"Estructuras de Control Condicionales",PENDING,5
9,3,"Estructuras de Control Iterativas",PENDING,5
10,4,Estructuras de Control Iterativas (Continuación),PENDING,5
11,5,Definición de Funciones,PENDING,5
12,6,Definición de Funciones (Continuación),PENDING,5
13,7,PRIMER EXAMEN,PENDING,5
14,8,Definición de Procedimientos,PENDING,5
15,8,Paso de parámetros a Funciones,PENDING,5
16,9,Técnica de Recursividad,PENDING,5
17,9,"Listas, Pilas y Colas",PENDING,5
18,9,Búsqueda Secuencial y Binaria,PENDING,5
19,10,Métodos de Ordenación y Búsqueda,PENDING,5
20,10,Análisis del tiempo de los Algoritmos de Ordenamiento,PENDING,5
21,11,SEGUNDO EXAMEN,PENDING,5
22,12,Comparación de la eficiencia de los Algoritmos,PENDING,5
23,12,Funciones para el procesamiento de Strings,PENDING,5
24,13,Métodos de Lectura de Archivos,PENDING,5
25,13,Métodos de Escritura de Archivos,PENDING,5
26,14,Principios de la POO,PENDING,5
27,14,Clases y Objetos,PENDING,5
28,15,Tipos de Datos Abstractos,PENDING,5
29,15,"Revisión de Librerías gráficas, de audio, sonido e imágenes",PENDING,5
30,16,EXAMEN SUSTITUTORIO,PENDING,5
31,17,TERCER EXAMEN,PENDING,5
32,1,Presentación del silabo de la asignatura y lineamientos - Propósito de la universidad en el contexto actual,PENDING,2
33,2,"Universidad Nacional de San Agustín de Arequipa, modelo Educativo, reglamentos y Responsabilidad Social",PENDING,2
34,3,Inteligencia emocional en la vida universitaria,PENDING,2
35,4,Taller de inteligencia emocional en la vida universitaria,PENDING,2
36,5,"Habilidades sociales, comunicativas para el aprendizaje",PENDING,2
37,6,Taller de habilidades sociales y comunicativas para el aprendizaje,PENDING,2
38,7,"El aprendizaje, condiciones básicas y reconocimiento de estrategias propias",PENDING,2
39,8,Estrategias de organización de información. Sistema Cornell,PENDING,2
40,9,"Estrategias de organización de información, diagramas y mapas cognitivos",PENDING,2
41,10,Estrategias de organización de información. mapa conceptual,PENDING,2
42,11,Estrategias de organización de información. Mapas mentales,PENDING,2
43,12,Estrategias de aplicación de Inteligencia Artificial. Chat GPT.,PENDING,2
44,13,Niveles del conocimiento. Introducción a la investigación Científica. Método científico,PENDING,2
45,14,"Gestores bibliográficos de la información científica. Operadores de búsqueda. Estilos de referencias IEEE, APA, VANCOUVER",PENDING,2
46,15,"Taller de gestores bibliográficos de la información científica. Operadores de búsqueda. Estilos de referencias IEEE, APA, VANCOUVER.",PENDING,2
47,16,El ensayo. Artículo científico. Póster Científico.,PENDING,2
48,17,Evaluación de los Trabajos de Responsabilidad Social e Investigación,PENDING,2
49,1,"Prueba de entrada. Presentación del sílabo. Nivelación",PENDING,1
50,2,"Lógica proposicional. Conectivos lógicos. Tablas de verdad",PENDING,1
51,3,"Conjuntos y elementos. Determinación de conjuntos. Relación de pertenencia. Relación de inclusión. Operaciones con conjuntos: Unión. Intersección, Diferencia. Complementación. Diferencia simétrica. Problemas que se resuelven con diagramas de Venn",PENDING,1
52,4,"Relación entre Lógica y Conjuntos: Leyes del álgebra de conjuntos y del álgebra de proposiciones. Algunas demostraciones formales.",PENDING,1
53,5,"Función proposicional. Cuantificadores. Negación de cuantificadores. Inferencia lógica. Leyes de la inferencia. Demostración directa e indirecta (reducción al absurdo).",PENDING,1
54,6,"Primer examen",PENDING,1
55,7,"Modelos matemáticos: Ecuaciones lineales y cuadráticas. Aplicaciones.",PENDING,1
56,8,"Modelos matemáticos: Inecuaciones lineales y cuadráticas. Aplicaciones",PENDING,1
57,9,"Regla de correspondencia. Operadores matemáticos. Sumatorias, Propiedades",PENDING,1
58,10,"Inducción matemática. Sucesiones.",PENDING,1
59,11,"Sucesiones y series aritméticas. Sucesiones y series y geométricas. Propiedades.",PENDING,1
60,12,"Segundo examen",PENDING,1
61,13,"Triángulos. Propiedades generales. Clasificación de los triángulos. Problemas. Congruencia de triángulos.",PENDING,1
62,14,"Examen sustitutorio. Proporcionalidad. Teoremas: de Thales, de la bisectriz interior, de la bisectriz exterior, del incentro",PENDING,1
63,15,"Semejanza de triángulos. Problemas de aplicación. Relaciones métricas en el triángulo rectángulo.",PENDING,1
64,16,"Teoremas: de las proyecciones, de la altura, de los catetos, de Pitágoras. Problemas. Áreas y perímetros. Figuras sombreadas. Nociones de Geometría Espacial. Teoremas principales",PENDING,1
65,17,"Tercer examen",PENDING,1
66,1,"Presentación del sílabo e introducción al curso",PENDING,3
67,2,"Arte y Computación",PENDING,3
68,3,"Arte y Computación - Continuación",PENDING,3
69,4,"PRIMER EXAMEN",PENDING,3
70,5,"Programación creativa",PENDING,3
71,6,"Programación creativa - Continuación",PENDING,3
72,7,"Arte generativo",PENDING,3
73,8,"SEGUNDO EXAMEN",PENDING,3
